證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","33496023","6232920254","185.00","187.25","184.65","186.80","-1.2500","88274"
"0051","元大中型100","83895","6539144","78.25","78.75","77.45","78.40","-0.4000","351"
"0052","富邦科技","738660","136254984","183.10","185.90","182.85","185.70","-0.5000","2175"
"0053","元大電子","22091","2187930","98.55","99.95","98.55","99.70","-0.4000","128"
"0055","元大MSCI金融","99103","2862920","29.00","29.03","28.78","28.96","-0.1700","296"
"0056","元大高股息","48673695","1762295049","36.14","36.50","36.00","36.46","-0.0700","36710"
"0057","富邦摩台","17145","2384862","138.35","139.75","138.20","139.75","-0.4000","110"
"0061","元大寶滬深","865102","16682551","19.45","19.45","19.21","19.35","-0.1900","293"
"006203","元大MSCI台灣","11970","1039900","87.00","87.35","86.15","87.35","-0.3000","128"
"006204","永豐臺灣加權","11267","1268772","112.00","113.40","112.00","113.40","-0.3500","116"
"006205","富邦上証","821103","26981825","33.10","33.14","32.71","32.94","-0.2000","226"
"006206","元大上證50","191312","5932201","31.38","31.38","30.81","31.05","-0.3300","138"
"006207","復華滬深","400586","10053315","25.30","25.30","25.00","25.15","-0.2000","104"
"006208","富邦台50","19346546","2115841074","108.65","109.95","108.50","109.70","-0.7500","55917"
"00625K","富邦上証+R","2000","14740","7.37","7.37","7.37","7.37","0.0000","2"
"00631L","元大台灣50正2","8804445","1971076169","221.60","228.00","220.90","226.95","-2.5000","14279"
"00632R","元大台灣50反1","36748744","864024940","23.63","23.65","23.30","23.36","0.1400","5715"
"00633L","富邦上証正2","7882877","300832226","38.59","38.59","37.88","37.96","-1.1500","1961"
"00634R","富邦上証反1","453984","1855705","4.09","4.11","4.07","4.09","0.0400","38"
"00635U","期元大S&P黃金","1530948","49973747","32.66","32.69","32.59","32.69","0.3500","594"
"00636","國泰中國A50","1346360","30641606","22.90","22.90","22.68","22.73","-0.3000","525"
"00636K","國泰中國A50+U","200","1384","6.92","6.92","6.92","6.92","-0.1000","2"
"00637L","元大滬深300正2","97573742","1514260202","15.71","15.72","15.39","15.43","-0.4500","11532"
"00638R","元大滬深300反1","2104821","18281941","8.61","8.70","8.61","8.70","0.1400","158"
"00639","富邦深100","3390022","40689123","12.10","12.10","11.92","12.03","-0.1500","520"
"00640L","富邦日本正2","1071589","55255621","52.05","52.05","51.05","51.80","-0.9500","319"
"00641R","富邦日本反1","1663616","10211654","6.12","6.17","6.12","6.14","0.0500","139"
